name	chromosome	strand	txStart	txEnd	exonStarts	exonEnds	name2	exon_number
NM_022114.3	1	+	2985741	3355185	2985741	2985860	PRDM16	1
NM_022114.3	1	+	2985741	3355185	3102688	3103038	PRDM16	2
NM_022114.3	1	+	2985741	3355185	3160650	3160701	PRDM16	3
NM_022114.3	1	+	2985741	3355185	3301715	3301850	PRDM16	4
NM_022114.3	1	+	2985741	3355185	3313054	3313157	PRDM16	5
NM_022114.3	1	+	2985741	3355185	3319354	3319562	PRDM16	6
NM_022114.3	1	+	2985741	3355185	3321302	3321450	PRDM16	7
NM_022114.3	1	+	2985741	3355185	3322058	3322212	PRDM16	8
NM_022114.3	1	+	2985741	3355185	3327947	3329364	PRDM16	9
NM_022114.3	1	+	2985741	3355185	3331123	3331211	PRDM16	10
NM_022114.3	1	+	2985741	3355185	3334391	3334561	PRDM16	11
NM_022114.3	1	+	2985741	3355185	3335230	3335308	PRDM16	12
NM_022114.3	1	+	2985741	3355185	3342144	3342314	PRDM16	13
NM_022114.3	1	+	2985741	3355185	3342614	3342789	PRDM16	14
NM_022114.3	1	+	2985741	3355185	3347435	3347672	PRDM16	15
NM_022114.3	1	+	2985741	3355185	3348529	3348704	PRDM16	16
NM_022114.3	1	+	2985741	3355185	3350240	3355185	PRDM16	17
NM_001321471.1	1	+	36690012	36770958	36690012	36690106	THRAP3	1
NM_001321471.1	1	+	36690012	36770958	36690571	36690703	THRAP3	2
NM_001321471.1	1	+	36690012	36770958	36724982	36725085	THRAP3	3
NM_001321471.1	1	+	36690012	36770958	36748133	36748301	THRAP3	4
NM_001321471.1	1	+	36690012	36770958	36751968	36752871	THRAP3	5
NM_001321471.1	1	+	36690012	36770958	36754660	36755365	THRAP3	6
NM_001321471.1	1	+	36690012	36770958	36756974	36757147	THRAP3	7
NM_001321471.1	1	+	36690012	36770958	36758198	36758310	THRAP3	8
NM_001321471.1	1	+	36690012	36770958	36759451	36759536	THRAP3	9
NM_001321471.1	1	+	36690012	36770958	36762183	36762371	THRAP3	10
NM_001321471.1	1	+	36690012	36770958	36766486	36766685	THRAP3	11
NM_001321471.1	1	+	36690012	36770958	36767153	36767297	THRAP3	12
NM_001321471.1	1	+	36690012	36770958	36769396	36770958	THRAP3	13
NM_003036.3	1	+	2160133	2241652	2160133	2161174	SKI	1
NM_003036.3	1	+	2160133	2241652	2234416	2234542	SKI	2
NM_003036.3	1	+	2160133	2241652	2234723	2234839	SKI	3
NM_003036.3	1	+	2160133	2241652	2235278	2235541	SKI	4
NM_003036.3	1	+	2160133	2241652	2235731	2236024	SKI	5
NM_003036.3	1	+	2160133	2241652	2237458	2237689	SKI	6
NM_003036.3	1	+	2160133	2241652	2238015	2241652	SKI	7
NM_004958.3	1	-	11166587	11322608	11166587	11167557	MTOR	58
NM_004958.3	1	-	11166587	11322608	11168237	11168343	MTOR	57
NM_004958.3	1	-	11166587	11322608	11169346	11169427	MTOR	56
NM_004958.3	1	-	11166587	11322608	11169705	11169786	MTOR	55
NM_004958.3	1	-	11166587	11322608	11172908	11172974	MTOR	54
NM_004958.3	1	-	11166587	11322608	11174374	11174510	MTOR	53
NM_004958.3	1	-	11166587	11322608	11174869	11174944	MTOR	52
NM_004958.3	1	-	11166587	11322608	11175452	11175525	MTOR	51
NM_004958.3	1	-	11166587	11322608	11177060	11177143	MTOR	50
NM_004958.3	1	-	11166587	11322608	11181302	11181425	MTOR	49
NM_004958.3	1	-	11166587	11322608	11182035	11182183	MTOR	48
NM_004958.3	1	-	11166587	11322608	11184554	11184690	MTOR	47
NM_004958.3	1	-	11166587	11322608	11186678	11186853	MTOR	46
NM_004958.3	1	-	11166587	11322608	11187066	11187201	MTOR	45
NM_004958.3	1	-	11166587	11322608	11187680	11187863	MTOR	44
NM_004958.3	1	-	11166587	11322608	11188060	11188183	MTOR	43
