chromosome	length	length_cumsum
1	249250621	0
2	243199373	249250621
3	198022430	492449994
4	191154276	690472424
5	180915260	881626700
6	171115067	1062541960
7	159138663	1233657027
8	146364022	1392795690
9	141213431	1539159712
10	135534747	1680373143
11	135006516	1815907890
12	133851895	1950914406
13	115169878	2084766301
14	107349540	2199936179
15	102531392	2307285719
16	90354753	2409817111
17	81195210	2500171864
18	78077248	2581367074
19	59128983	2659444322
20	63025520	2718573305
21	48129895	2781598825
22	51304566	2829728720
23	155270560	2881033286
